id,school_id,caterer_id,day_of_week,start_time,end_time,dinner_time,building,default_manager_name,default_manager_mobile,year_levels
17e64ec3-fd0a-4cdf-9a7c-ef4ca51835a0,6eb57a60-6691-4209-97ee-161445c0bebc,14a96d15-6b99-438a-be13-c7513b5dfbe4,Thursday,15:30:00,18:30:00,17:00:00,X Block,Ethan,0498 877 665,"[12,11,10,9]"
1ad936a9-d769-4815-a351-79308ddbf460,11d573b0-2f85-453e-a744-4fa85dac7f5c,08c603fb-9bf4-4555-83c0-e785d29aaca8,Monday,15:30:00,18:30:00,17:00:00,E Centre,Ethan,0498 877 665,"[12,11,10]"
566a9cde-42d1-45d3-b8c0-2a752c06e48b,6eb57a60-6691-4209-97ee-161445c0bebc,14a96d15-6b99-438a-be13-c7513b5dfbe4,Monday,15:30:00,18:30:00,17:00:00,X Block,Lucian,0412 233 445,"[12,11,10,9]"
63a97128-5669-454d-8ff0-2b28f7b3f691,2414a860-9182-4d04-99a0-7dc9b10f36e9,da3adaa4-56d0-470d-bafa-f8929968ffcb,Tuesday,16:30:00,19:30:00,18:00:00,G Centre,Jessie,0412 345 678,"[12,11,10,9]"
813f93ca-dd8c-4b7b-8f82-6c8b71bdb340,5da49982-d7f0-4319-88fb-58fb7e7ecc01,08c603fb-9bf4-4555-83c0-e785d29aaca8,Tuesday,15:30:00,18:30:00,17:00:00,Ella Building,Claire,0488 888 888,"[12,11,10]"
8ad83b04-db31-4eb2-bcf9-a0f2ca1c3758,18cc93e2-5db3-43d5-806f-866bebc13247,da3adaa4-56d0-470d-bafa-f8929968ffcb,Thursday,15:15:00,18:15:00,16:45:00,Library,Jessie,0412 345 678,"[12,11,10,9]"
cf4f79ce-64ff-4f7e-8932-fac7158219a6,2414a860-9182-4d04-99a0-7dc9b10f36e9,da3adaa4-56d0-470d-bafa-f8929968ffcb,Wednesday,16:30:00,19:30:00,18:00:00,G Centre,Liam,0498 765 432,"[12,11,10,9]"
d73f1a03-54f9-4c3d-96b8-4eb3d094e024,6eb57a60-6691-4209-97ee-161445c0bebc,14a96d15-6b99-438a-be13-c7513b5dfbe4,Tuesday,15:30:00,18:30:00,17:00:00,X Block,Lucian,0412 233 445,"[12,11,10,9]"
e15a3982-3e8a-456e-b92e-2d5786fdbe79,5da49982-d7f0-4319-88fb-58fb7e7ecc01,08c603fb-9bf4-4555-83c0-e785d29aaca8,Monday,15:30:00,18:30:00,17:00:00,Ella Building,Claire,0488 888 888,"[12,11,10]"
e3faf190-1c05-48dc-bf59-fe232592f0c6,11d573b0-2f85-453e-a744-4fa85dac7f5c,08c603fb-9bf4-4555-83c0-e785d29aaca8,Wednesday,15:30:00,18:30:00,17:00:00,E Centre,Camilo,0466 666 666,"[12,11,10]"
fab707a1-b32d-4fe6-8a91-e58e6a9147d6,026f2e8d-0210-4ffd-85da-f17569acdbb7,df375fbb-415f-49a4-b4e4-377c3252d453,Tuesday,16:00:00,19:00:00,17:30:00,Library,Triet,0469 420 067,"[12,11]"
